| Epoch: 4000 | Train Accuracy: 1.0 | Train Loss: 0.0035815665032714605 | Test Accuracy: 0.23358318209648132 | Test Loss: 9.274725914001465 |
| Epoch: 4100 | Train Accuracy: 1.0 | Train Loss: 0.0033848201856017113 | Test Accuracy: 0.23358318209648132 | Test Loss: 9.263248443603516 |
| Epoch: 4200 | Train Accuracy: 1.0 | Train Loss: 0.0032023608218878508 | Test Accuracy: 0.234254390001297 | Test Loss: 9.241106986999512 |
| Epoch: 4300 | Train Accuracy: 1.0 | Train Loss: 0.0030299213249236345 | Test Accuracy: 0.23503747582435608 | Test Loss: 9.220178604125977 |
| Epoch: 4400 | Train Accuracy: 1.0 | Train Loss: 0.00286866445094347 | Test Accuracy: 0.23481373488903046 | Test Loss: 9.19797134399414 |
| Epoch: 4500 | Train Accuracy: 1.0 | Train Loss: 0.0027145901694893837 | Test Accuracy: 0.23649178445339203 | Test Loss: 9.174263000488281 |
| Epoch: 4600 | Train Accuracy: 1.0 | Train Loss: 0.002568054711446166 | Test Accuracy: 0.2372748702764511 | Test Loss: 9.14234447479248 |
| Epoch: 4700 | Train Accuracy: 1.0 | Train Loss: 0.0024307318963110447 | Test Accuracy: 0.23940038681030273 | Test Loss: 9.105552673339844 |
| Epoch: 4800 | Train Accuracy: 1.0 | Train Loss: 0.00229955674149096 | Test Accuracy: 0.23973599076271057 | Test Loss: 9.062906265258789 |
| Epoch: 4900 | Train Accuracy: 1.0 | Train Loss: 0.0021759390365332365 | Test Accuracy: 0.2399597316980362 | Test Loss: 9.01161003112793 |
| Epoch: 5000 | Train Accuracy: 1.0 | Train Loss: 0.0020597665570676327 | Test Accuracy: 0.2419733703136444 | Test Loss: 8.953553199768066 |
| Epoch: 5100 | Train Accuracy: 1.0 | Train Loss: 0.0019495541928336024 | Test Accuracy: 0.2429801970720291 | Test Loss: 8.887818336486816 |
| Epoch: 5200 | Train Accuracy: 1.0 | Train Loss: 0.0018451946089044213 | Test Accuracy: 0.24544131755828857 | Test Loss: 8.816800117492676 |
| Epoch: 5300 | Train Accuracy: 1.0 | Train Loss: 0.0017455915221944451 | Test Accuracy: 0.24801431596279144 | Test Loss: 8.735428810119629 |
| Epoch: 5400 | Train Accuracy: 1.0 | Train Loss: 0.001653724699281156 | Test Accuracy: 0.24812619388103485 | Test Loss: 8.651360511779785 |
| Epoch: 5500 | Train Accuracy: 1.0 | Train Loss: 0.001566857099533081 | Test Accuracy: 0.24913300573825836 | Test Loss: 8.563931465148926 |
| Epoch: 5600 | Train Accuracy: 1.0 | Train Loss: 0.0014836759073659778 | Test Accuracy: 0.25092291831970215 | Test Loss: 8.479179382324219 |
| Epoch: 5700 | Train Accuracy: 1.0 | Train Loss: 0.0014061912661418319 | Test Accuracy: 0.25293657183647156 | Test Loss: 8.398292541503906 |
| Epoch: 5800 | Train Accuracy: 1.0 | Train Loss: 0.0013323414605110884 | Test Accuracy: 0.2540552616119385 | Test Loss: 8.32070255279541 |
| Epoch: 5900 | Train Accuracy: 1.0 | Train Loss: 0.0012626653769984841 | Test Accuracy: 0.25562143325805664 | Test Loss: 8.243514060974121 |
| Epoch: 6000 | Train Accuracy: 1.0 | Train Loss: 0.0011966623133048415 | Test Accuracy: 0.2580825686454773 | Test Loss: 8.171107292175293 |
| Epoch: 0 | Train Accuracy: 0.012271540239453316 | Train Loss: 6.442716121673584 | Test Accuracy: 0.00805459264665842 | Test Loss: 5.924689769744873 |
| Epoch: 100 | Train Accuracy: 0.7895561456680298 | Train Loss: 0.8213533163070679 | Test Accuracy: 0.184808149933815 | Test Loss: 7.567814826965332 |
| Epoch: 200 | Train Accuracy: 0.799738883972168 | Train Loss: 0.564849853515625 | Test Accuracy: 0.19207964837551117 | Test Loss: 8.836798667907715 |
| Epoch: 300 | Train Accuracy: 0.8245430588722229 | Train Loss: 0.4788835346698761 | Test Accuracy: 0.19935116171836853 | Test Loss: 8.920892715454102 |
| Epoch: 400 | Train Accuracy: 0.8443863987922668 | Train Loss: 0.4145424962043762 | Test Accuracy: 0.1981205940246582 | Test Loss: 8.989581108093262 |
| Epoch: 500 | Train Accuracy: 0.8715404868125916 | Train Loss: 0.34592676162719727 | Test Accuracy: 0.198008731007576 | Test Loss: 9.076343536376953 |
| Epoch: 600 | Train Accuracy: 0.9073107242584229 | Train Loss: 0.2500295639038086 | Test Accuracy: 0.20460902154445648 | Test Loss: 9.288016319274902 |
| Epoch: 700 | Train Accuracy: 0.9342036843299866 | Train Loss: 0.1736047863960266 | Test Accuracy: 0.20528022944927216 | Test Loss: 9.41783618927002 |
| Epoch: 800 | Train Accuracy: 0.9613577127456665 | Train Loss: 0.11136823892593384 | Test Accuracy: 0.20740574598312378 | Test Loss: 9.505414962768555 |
| Epoch: 900 | Train Accuracy: 0.990078330039978 | Train Loss: 0.05714570730924606 | Test Accuracy: 0.20874817669391632 | Test Loss: 9.599654197692871 |
| Epoch: 1000 | Train Accuracy: 0.995039165019989 | Train Loss: 0.03741927444934845 | Test Accuracy: 0.21456538140773773 | Test Loss: 9.396212577819824 |
| Epoch: 1100 | Train Accuracy: 0.9979112148284912 | Train Loss: 0.027805738151073456 | Test Accuracy: 0.21747398376464844 | Test Loss: 9.217297554016113 |
| Epoch: 1200 | Train Accuracy: 1.0 | Train Loss: 0.02302970364689827 | Test Accuracy: 0.2190401554107666 | Test Loss: 9.098374366760254 |
| Epoch: 1300 | Train Accuracy: 1.0 | Train Loss: 0.01961050182580948 | Test Accuracy: 0.22407427430152893 | Test Loss: 9.031285285949707 |
| Epoch: 1400 | Train Accuracy: 1.0 | Train Loss: 0.01811508648097515 | Test Accuracy: 0.22608792781829834 | Test Loss: 8.974228858947754 |
| Epoch: 1500 | Train Accuracy: 1.0 | Train Loss: 0.016891470178961754 | Test Accuracy: 0.2267591506242752 | Test Loss: 8.948507308959961 |
| Epoch: 1600 | Train Accuracy: 1.0 | Train Loss: 0.01577886939048767 | Test Accuracy: 0.22810158133506775 | Test Loss: 8.941462516784668 |
| Epoch: 1700 | Train Accuracy: 1.0 | Train Loss: 0.014644068665802479 | Test Accuracy: 0.22787784039974213 | Test Loss: 8.951749801635742 |
